Institusi,Halaman Terdeface,Attacker,H,M,R,Lokasi,Kejadian,Arsip,OS
,"www.dprd-pesisirbaratkab.go.id...
							",Mr.L3RB1,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35049318,
,"dprd-babelprov.go.id/readme.htm
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-17,www.zone-h.org/mirror/id/35048822,
,"kejari-pandeglang.go.id
							",RzkyO,H,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-17,www.zone-h.org/mirror/id/35048463,
,"pa-bulukumba.go.id/olala.html
							",KimiHmei7,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-16,www.zone-h.org/mirror/id/35047318,
,"dilmil-bandung.go.id
							",ABD3LOS_MA,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-15,www.zone-h.org/mirror/id/35047048,
,"dkp.jabarprov.go.id
							",Unknown45,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-14,www.zone-h.org/mirror/id/35045298,
,"disperindag.jabarprov.go.id
							",Unknown45,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-14,www.zone-h.org/mirror/id/35045296,
,"diskes.jabarprov.go.id
							",Unknown45,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-14,www.zone-h.org/mirror/id/35045295,
,"www.pa-depok.go.id
							",ViOLUx216,H,,R,"b'<td><img alt=""United States"" src=""/images/cflags/png/us.png"" title=""United States""/></td>'",2021-05-13,www.zone-h.org/mirror/id/35044288,
,"si-warta.tegalkota.go.id/read.txt
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-12,www.zone-h.org/mirror/id/35043557,
,"sinovik.kemkes.go.id/images/re...
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-12,www.zone-h.org/mirror/id/35040613,
,"metrologilegal.tegalkota.go.id...
							",Mr.L3RB1,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-12,www.zone-h.org/mirror/id/35040341,
,"sipebe.menpan.go.id/read.txt
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-12,www.zone-h.org/mirror/id/34938397,
,"v7.pa-sragen.go.id/read.txt
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-12,www.zone-h.org/mirror/id/34740759,
,"www.jdih.pa-sragen.go.id/read.txt
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-12,www.zone-h.org/mirror/id/34740758,
,"sipp311.pa-sragen.go.id/read.txt
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-12,www.zone-h.org/mirror/id/34740757,
,"pengaduan.pa-jember.go.id/ea.txt
							",Alqiyaramdana,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-12,www.zone-h.org/mirror/id/35040424,
